"subject","CHILDCARE_ARRANGEMENT","homebased_daycare_yn","licensed_provider_yn"
"26-3464313","Care by a relative","Yes","Yes"
"26-2982073","Care by a relative","No","No"
"26-1866450","Care by a relative","Yes","Yes"
"26-1387067","Daycare (centre-based or home-based)","No","No"
"26-2528278","Care in child’s home by a non-relative","Yes","No"
"26-2532664","Care in someone’s home by a non-relative","No","No"
"26-1405616","Daycare (centre-based or home-based)","No","No"
"26-1364483","Daycare (centre-based or home-based)","No","Yes"
"26-2981514","Care in someone’s home by a non-relative","No","Yes"
"26-3465635","Care by a relative","Yes","No"
"26-3465919","Daycare (centre-based or home-based)","No","No"
"26-3462498","Care by a relative","Yes","No"
"26-1344668","Care by a relative","Yes","No"
"26-1342556","Care by a relative","Yes","Yes"
"26-3811041","Care in child’s home by a non-relative","Yes","Yes"
"26-1359560","Care by a relative","No","No"
"26-3463438","Daycare (centre-based or home-based)","No","No"
"26-3812568","Care in someone’s home by a non-relative","No","No"
"26-2531226","Daycare (centre-based or home-based)","No","No"
"26-2535198","Care in someone’s home by a non-relative","No","No"
"26-1391916","Daycare (centre-based or home-based)","No","Yes"
"26-1386990","Care in someone’s home by a non-relative","Yes","Yes"
"26-1378730","Care by a relative","No","Yes"
"26-1359016","Care in child’s home by a non-relative","Yes","No"
"26-2985344","Care in someone’s home by a non-relative","No","No"
"26-3816406","Care in child’s home by a non-relative","Yes","Yes"
"26-1359054","Daycare (centre-based or home-based)","No","Yes"
"26-1389111","Care by a relative","No","No"
"26-1395413","Care in child’s home by a non-relative","Yes","No"
"26-2494894","Care by a relative","No","Yes"
"26-2516886","Care in child’s home by a non-relative","No","Yes"
"26-1403037","Care in child’s home by a non-relative","No","Yes"
"26-3818649","Care in child’s home by a non-relative","Yes","Yes"
"26-3828558","Care by a relative","No","Yes"
"26-3817113","Care in someone’s home by a non-relative","No","Yes"
"26-1382833","Care by a relative","Yes","No"
"26-2988655","Daycare (centre-based or home-based)","No","No"
"26-1391628","Care in someone’s home by a non-relative","No","Yes"
"26-3817919","Care in someone’s home by a non-relative","Yes","No"
"26-1403578","Care in someone’s home by a non-relative","Yes","Yes"
"26-3822985","Care by a relative","No","No"
"26-2987609","Care in someone’s home by a non-relative","No","No"
"26-1352558","Care by a relative","No","No"
"26-1396654","Care in child’s home by a non-relative","Yes","Yes"
"26-2532004","Care in child’s home by a non-relative","No","No"
"26-1353386","Care in someone’s home by a non-relative","Yes","Yes"
"26-2515659","Care in someone’s home by a non-relative","No","Yes"
"26-2514138","Care in child’s home by a non-relative","No","Yes"
"26-1375694","Care by a relative","No","No"
"26-1863035","Care by a relative","No","Yes"
"26-3813331","Care in child’s home by a non-relative","Yes","Yes"
"26-3465127","Care in someone’s home by a non-relative","Yes","No"
"26-3826163","Daycare (centre-based or home-based)","No","No"
"26-2988045","Care in child’s home by a non-relative","No","Yes"
"26-2536155","Care in child’s home by a non-relative","No","Yes"
"26-1867518","Care in someone’s home by a non-relative","Yes","No"
"26-2499391","Care in someone’s home by a non-relative","Yes","Yes"
"26-1352286","Care by a relative","Yes","Yes"
"26-3826163","Care in someone’s home by a non-relative","Yes","Yes"
"26-1342103","Care in someone’s home by a non-relative","Yes","No"
"26-1381767","Care in child’s home by a non-relative","Yes","Yes"
"26-1391628","Care by a relative","No","No"
"26-1353250","Care by a relative","No","No"
"26-1365565","Daycare (centre-based or home-based)","Yes","Yes"
"26-1404244","Daycare (centre-based or home-based)","No","No"
"26-3817498","Care in child’s home by a non-relative","No","No"
"26-2988547","Care by a relative","No","No"
"26-1392082","Daycare (centre-based or home-based)","No","No"
"26-1392565","Care in someone’s home by a non-relative","Yes","Yes"
"26-1866703","Daycare (centre-based or home-based)","Yes","No"
"26-2516736","Care in someone’s home by a non-relative","Yes","No"
"26-2518362","Daycare (centre-based or home-based)","Yes","Yes"
"26-1354643","Care by a relative","No","No"
"26-1861842","Care in someone’s home by a non-relative","No","Yes"
"26-2529352","Care in someone’s home by a non-relative","No","Yes"
"26-1354001","Care in child’s home by a non-relative","No","Yes"
"26-1364128","Daycare (centre-based or home-based)","No","No"
"26-1868071","Care in someone’s home by a non-relative","No","Yes"
"26-1385146","Care in child’s home by a non-relative","Yes","Yes"
"26-3501505","Daycare (centre-based or home-based)","No","No"
"26-3811915","Care in someone’s home by a non-relative","No","Yes"
"26-2532652","Care by a relative","Yes","Yes"
"26-3816658","Care by a relative","No","No"
"26-1367928","Daycare (centre-based or home-based)","Yes","No"
"26-1402998","Care by a relative","No","No"
"26-1345929","Care by a relative","No","No"
"26-2518615","Daycare (centre-based or home-based)","Yes","Yes"
"26-1362633","Care in someone’s home by a non-relative","Yes","Yes"
"26-1401231","Daycare (centre-based or home-based)","No","Yes"
"26-3506062","Care by a relative","No","No"
"26-2491650","Daycare (centre-based or home-based)","Yes","Yes"
"26-1348129","Care by a relative","Yes","Yes"
"26-3501709","Care in someone’s home by a non-relative","Yes","No"
"26-1372810","Care by a relative","No","No"
"26-1373699","Care in someone’s home by a non-relative","Yes","No"
"26-2515974","Care in child’s home by a non-relative","Yes","No"
"26-3829992","Care in someone’s home by a non-relative","Yes","Yes"
"26-1353402","Care in child’s home by a non-relative","Yes","Yes"
"26-2493459","Daycare (centre-based or home-based)","Yes","No"
"26-3827886","Care in someone’s home by a non-relative","Yes","Yes"
"26-2531275","Care by a relative","No","No"
"26-1404917","Daycare (centre-based or home-based)","No","Yes"
"26-1356960","Care by a relative","No","Yes"
"26-1344668","Care in child’s home by a non-relative","No","Yes"
"26-1376623","Care in child’s home by a non-relative","Yes","No"
"26-1864415","Care by a relative","No","Yes"
"26-1388420","Care in child’s home by a non-relative","Yes","No"
"26-3467849","Care in child’s home by a non-relative","No","Yes"
"26-1393753","Care by a relative","Yes","Yes"
"26-1363265","Care by a relative","No","No"
"26-2533535","Care in child’s home by a non-relative","No","Yes"
"26-1366143","Care in child’s home by a non-relative","Yes","No"
"26-3829359","Care in someone’s home by a non-relative","No","No"
"26-1351783","Daycare (centre-based or home-based)","No","No"
"26-1389338","Daycare (centre-based or home-based)","No","Yes"
"26-1358214","Care by a relative","No","No"
"26-3508477","Care in child’s home by a non-relative","No","Yes"
"26-2497783","Care in someone’s home by a non-relative","Yes","No"
"26-1395958","Care in someone’s home by a non-relative","Yes","No"
"26-3469864","Care in someone’s home by a non-relative","Yes","No"
"26-3463921","Daycare (centre-based or home-based)","Yes","Yes"
"26-2539417","Daycare (centre-based or home-based)","Yes","Yes"
"26-2514648","Daycare (centre-based or home-based)","No","Yes"
"26-1383508","Care by a relative","Yes","No"
"26-2497412","Care in someone’s home by a non-relative","No","No"
"26-3508098","Care by a relative","Yes","Yes"
"26-2499445","Care in someone’s home by a non-relative","No","Yes"
"26-1406674","Care in someone’s home by a non-relative","Yes","Yes"
"26-1342234","Daycare (centre-based or home-based)","Yes","Yes"
"26-3469535","Care in child’s home by a non-relative","No","Yes"
"26-1402155","Care in someone’s home by a non-relative","No","Yes"
"26-3501478","Care by a relative","No","No"
"26-3814154","Care by a relative","Yes","No"
"26-1361299","Care in child’s home by a non-relative","Yes","Yes"
"26-1403778","Daycare (centre-based or home-based)","No","Yes"
"26-1348550","Daycare (centre-based or home-based)","No","No"
"26-1362633","Care in child’s home by a non-relative","Yes","Yes"
"26-2517841","Daycare (centre-based or home-based)","No","No"
"26-1406674","Care by a relative","Yes","Yes"
"26-2985344","Care in someone’s home by a non-relative","Yes","No"
"26-1362027","Care in child’s home by a non-relative","Yes","Yes"
"26-2499639","Care in someone’s home by a non-relative","No","Yes"
"26-1386595","Care in someone’s home by a non-relative","Yes","No"
"26-1399132","Care in someone’s home by a non-relative","No","No"
"26-1865312","Care by a relative","Yes","Yes"
"26-3506124","Care in someone’s home by a non-relative","Yes","Yes"
"26-3819460","Care by a relative","No","Yes"
"26-2537772","Daycare (centre-based or home-based)","No","Yes"
"26-1398128","Care by a relative","No","Yes"
"26-1403571","Daycare (centre-based or home-based)","Yes","No"
"26-3811986","Care in someone’s home by a non-relative","Yes","No"
"26-1394124","Care in someone’s home by a non-relative","No","No"
"26-3818371","Care in someone’s home by a non-relative","Yes","Yes"
"26-1344918","Daycare (centre-based or home-based)","Yes","No"
"26-2526705","Care in someone’s home by a non-relative","No","No"
"26-3505991","Care in someone’s home by a non-relative","Yes","No"
"26-1406568","Care in child’s home by a non-relative","Yes","Yes"
"26-1869819","Care in child’s home by a non-relative","Yes","No"
"26-2532919","Care in child’s home by a non-relative","No","Yes"
"26-3812654","Care in someone’s home by a non-relative","No","Yes"
"26-1868475","Daycare (centre-based or home-based)","No","No"
"26-1393759","Care by a relative","Yes","Yes"
"26-1406568","Care by a relative","Yes","No"
"26-1353250","Care in someone’s home by a non-relative","No","Yes"
"26-3825282","Care in child’s home by a non-relative","No","Yes"
"26-2529597","Care by a relative","No","Yes"
"26-3826447","Care in someone’s home by a non-relative","Yes","Yes"
"26-1356329","Care in someone’s home by a non-relative","Yes","Yes"
"26-1394689","Care in someone’s home by a non-relative","Yes","Yes"
"26-1379020","Care by a relative","No","No"
"26-1861474","Care in someone’s home by a non-relative","No","Yes"
"26-1373698","Care in someone’s home by a non-relative","No","No"
"26-3467952","Daycare (centre-based or home-based)","Yes","No"
"26-2496406","Care in child’s home by a non-relative","Yes","Yes"
"26-1409699","Care by a relative","Yes","Yes"
"26-1347248","Care by a relative","Yes","Yes"
"26-1347422","Care in child’s home by a non-relative","No","No"
"26-2515521","Care in child’s home by a non-relative","Yes","No"
"26-1406870","Care in child’s home by a non-relative","No","Yes"
"26-3501765","Care by a relative","No","Yes"
"26-2536136","Care in child’s home by a non-relative","No","Yes"
"26-1408297","Care in child’s home by a non-relative","Yes","Yes"
"26-1379345","Daycare (centre-based or home-based)","Yes","Yes"
"26-2984766","Care in child’s home by a non-relative","Yes","No"
"26-3506047","Daycare (centre-based or home-based)","No","No"
"26-1395900","Care by a relative","Yes","Yes"
"26-1409160","Care in someone’s home by a non-relative","Yes","Yes"
"26-1372846","Care in someone’s home by a non-relative","Yes","No"
"26-2493573","Care by a relative","Yes","Yes"
"26-1344023","Care in child’s home by a non-relative","No","No"
"26-2539871","Care in child’s home by a non-relative","No","No"
"26-2985820","Care in child’s home by a non-relative","No","Yes"
"26-2986312","Care by a relative","No","Yes"
"26-2981514","Care by a relative","No","No"
"26-1356956","Care by a relative","Yes","No"
"26-1393421","Care in child’s home by a non-relative","No","No"
"26-2517196","Care in child’s home by a non-relative","No","No"
"26-1367906","Care by a relative","Yes","Yes"
"26-1383360","Daycare (centre-based or home-based)","Yes","Yes"
"26-3505077","Care by a relative","Yes","Yes"
"26-3505182","Care in someone’s home by a non-relative","No","Yes"
"26-3468761","Care in someone’s home by a non-relative","Yes","Yes"
"26-1373775","Care by a relative","Yes","No"
"26-1361299","Care in someone’s home by a non-relative","Yes","Yes"
"26-2537342","Care in someone’s home by a non-relative","No","Yes"
"26-3822381","Care by a relative","Yes","No"
